gid,role,role_score,cluster_id,priority_score,evidence,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,pagerank,pass_through,depth,is_seed,truncated_by_depth,observability,upstream_seed_count,betweenness,same_day_ratio,in_cycle
100000000343175100,distributor,0.9274074226866637,6,0.9599465954606141,"Признаки распределения: 31 получ., 33 tx, 4.00 млн KZT; вход: 8 плательщ., 178.7 тыс. KZT.",8,31,178712.0,4000039.0,14,33,0.0007097623513431031,22.382598818210305,0,True,False,0.7,1,0.0007040456702723672,0.9692242266887506,False
100000000456947100,peripheral,1.0,49,0.004005340453938585,Изолированный seed: 0 входящих и 0 исходящих рёбер в наблюдаемом графе.,0,0,0.0,0.0,0,0,0.0002840372852218354,0.0,0,True,False,0.7,1,0.0,0.0,False
100000000580561100,distributor,0.8293416238994177,35,0.8820649755229194,"Признаки распределения: 3 получ., 13 tx, 1.49 млн KZT; вход: 2 плательщ., 28.0 тыс. KZT.",2,3,27980.0,1488077.0,3,13,0.0008289636041733301,53.183595425303785,0,True,False,0.7,1,4.467250585954369e-06,0.6676197283774125,True
100000001415126100,peripheral,0.8099354695149088,16,0.25055629728526924,"Периферийный профиль: in/out degree 1/0, оборот 27.0 тыс. KZT; выраженной структурной роли нет.",1,0,27000.0,0.0,1,0,0.0004071793005807027,0.0,0,True,False,0.7,1,0.0,0.0,False
100000001429930100,peripheral,0.8099354695149088,11,0.19359145527369825,"Периферийный профиль: in/out degree 1/0, оборот 26.0 тыс. KZT; выраженной структурной роли нет.",1,0,26000.0,0.0,1,0,0.0003487902735941985,0.0,0,True,False,0.7,1,0.0,0.0,False
100000001616816100,coordinator,0.8968980863373387,9,0.9532710280373832,"Связующий профиль: seed-ветвей 1, соседних кластеров 1; in/out degree 5/3, bridge pctl 94%.",5,3,176195.0,181326.0,12,10,0.002411939354969799,1.0291211441868384,0,True,False,0.7,1,7.07183140397744e-05,0.5049802775334147,True
100000001732159100,distributor,0.8676582456353679,37,0.8940809968847352,"Признаки распределения: 4 получ., 23 tx, 1.51 млн KZT; вход: 2 плательщ., 2.38 млн KZT.",2,4,2378100.0,1505966.0,30,23,0.001085705105693932,0.633264370716118,0,True,False,0.7,1,1.3357079252003561e-05,0.3154434212186199,True
100000002527114100,distributor,0.934297293464356,4,0.9648420115709835,"Признаки распределения: 111 получ., 113 tx, 3.29 млн KZT; вход: 3 плательщ., 129.0 тыс. KZT.",3,111,129000.0,3289249.0,4,113,0.000806090342780871,25.49805426356589,0,True,False,0.7,1,0.0003265063817156426,1.0,True
100000002916006100,peripheral,0.590865598575879,16,0.25189141076991545,"Периферийный профиль: in/out degree 0/1, оборот 32.0 тыс. KZT; выраженной структурной роли нет.",0,1,0.0,32000.0,0,1,0.0002840372852218354,0.0,0,True,False,0.7,1,0.0,0.0,False
100000003016635100,coordinator,0.9359991099243437,1,0.9946595460614153,"Связующий профиль: seed-ветвей 1, соседних кластеров 7; in/out degree 8/73, bridge pctl 100%.",8,73,586981.0,9414081.0,36,151,0.0011829714592437434,16.038135817002594,0,True,False,0.7,1,0.00363329654556414,1.0,True
100000003200071100,peripheral,0.590865598575879,47,0.24966622162883845,"Периферийный профиль: in/out degree 0/1, оборот 30.0 тыс. KZT; выраженной структурной роли нет.",0,1,0.0,30000.0,0,1,0.0002840372852218354,0.0,0,True,False,0.7,1,0.0,0.0,False
100000003265658100,peripheral,1.0,50,0.004005340453938585,Изолированный seed: 0 входящих и 0 исходящих рёбер в наблюдаемом графе.,0,0,0.0,0.0,0,0,0.0002840372852218354,0.0,0,True,False,0.7,1,0.0,0.0,False
